Filename,Sheetname,Station,date,time,lat,lon,CDOM [m$^{-1}$],CDOM$_{412(0.5+2)}$ [m$^{-1}$],CDOM$_{412}$ [m$^{-1}$],CDOM$_{440(0.5+2)}$ [m$^{-1}$],CDOM$_{440}$ [m$^{-1}$],Chla [mg m$^{-3}$],Chla$_{(0.5+2)}$ [mg m$^{-3}$]
OAD180531.xls,観測及び分析結果 (報告書用)×,4,5/31/2018,2:39:00,36.8317,137.2533,-999,0.1984,-999,0.1984,-999,-999,4.6983
OAD180531.xls,観測及び分析結果 (報告書用)×,9,5/31/2018,3:55:00,36.705,137.05,-999,0.0741,-999,0.0741,-999,-999,0.843
OAD180531.xls,観測及び分析結果 (報告書用)×,3,5/31/2018,0:41:00,36.7933,137.2533,-999,0.0951,-999,0.0951,-999,0.891,3.254
OAD180531.xls,観測及び分析結果 (報告書用)×,7,5/31/2018,3:15:00,36.8317,137.155,-999,0.0337,-999,0.0337,-999,-999,1.0799
OAD180531.xls,観測及び分析結果 (報告書用)×,8,5/31/2018,4:22:00,36.8317,137.09,-999,0.0687,-999,0.0687,-999,-999,1.7746
OAD180531.xls,観測及び分析結果 (報告書用),1,5/31/2018,1:14:00,36.7933,137.3317,-999,0.0845,-999,0.0845,-999,-999,12.7381
OAD180531.xls,観測及び分析結果 (報告書用),6,5/31/2018,0:03:00,36.7933,137.155,-999,0.0909,-999,0.0909,-999,-999,2.9151
OAD180531.xls,観測及び分析結果 (報告書用),2,5/31/2018,1:39:00,36.8317,137.3317,-999,0.0971,-999,0.0971,-999,-999,8.3536
OAD180531.xls,観測及び分析結果 (報告書用)×,河口1,5/31/2018,4:42:00,36.7967,137.081,-999,-999,-999,-999,-999,-999,-999
OAD180531.xls,観測及び分析結果,5,5/31/2018,2:15:00,36.8717,137.2533,-999,0.1489,-999,0.1489,-999,0.4978,0.4815
OAD180821.xls,観測及び分析結果,6,8/20/2018,23:30:00,36.7933,137.155,-999,-999,-999,0.1318,-999,-999,4.977
OAD180821.xls,観測及び分析結果,3,8/21/2018,0:07:00,36.7933,137.2533,-999,0.1003,-999,0.1003,-999,0.289,3.2436
OAD180821.xls,観測及び分析結果,5,8/21/2018,2:25:00,36.8717,137.2533,-999,-999,-999,0.0429,-999,2.411,0.273
OAD180821.xls,観測及び分析結果,4,8/21/2018,2:47:00,36.8317,137.2533,-999,-999,-999,0.0458,-999,-999,0.945
OAD180821.xls,観測及び分析結果,2,8/21/2018,1:52:00,36.8317,137.3317,-999,0.0765,-999,0.0765,-999,-999,2.34
OAD181106.xls,観測及び分析結果,5,11/6/2018,1:45:00,36.8717,137.2533,-999,-999,-999,0.1277,-999,1.052,-999
OAD181106.xls,観測及び分析結果,6,11/5/2018,23:30:00,36.7933,137.155,-999,-999,-999,0.1825,-999,-999,3.672
OAD181106.xls,観測及び分析結果 (報告書用),3,11/6/2018,0:15:00,36.7933,137.2533,-999,0.181,-999,0.181,-999,3.5267,3.0831
OAD181106.xls,観測及び分析結果 (報告書用),2,11/6/2018,1:10:00,36.8317,137.3317,-999,0.1437,-999,0.1437,-999,-999,1.917
OAD181106.xls,観測及び分析結果 (報告書用),1,11/6/2018,0:47:00,36.7933,137.3317,-999,0.1681,-999,0.1681,-999,-999,3.123
OAD181106.xls,観測及び分析結果 (報告書用),4,11/6/2018,2:09:00,36.8317,137.2533,-999,-999,-999,0.1337,-999,-999,-999
OAD190122.xls,観測及び分析結果,3,1/22/2019,3:45:00,36.7933,137.2533,-999,0.0887,-999,0.0887,-999,0.7545,0.6775
OAD190122.xls,観測及び分析結果,2,1/22/2019,4:50:00,36.8317,137.3317,-999,0.0678,-999,0.0678,-999,-999,0.655
OAD190122.xls,観測及び分析結果,5,1/22/2019,5:25:00,36.8717,137.2533,-999,-999,-999,0.0441,-999,0.2156,0.329
OAD190122.xls,観測及び分析結果,1,1/22/2019,4:25:00,36.7933,137.3317,-999,0.1116,-999,0.1116,-999,-999,0.9464
OAD190122.xls,観測及び分析結果,6,1/22/2019,3:08:00,36.7933,137.155,-999,-999,-999,0.0507,-999,-999,-999
OAD190122.xls,観測及び分析結果,4,1/22/2019,5:54:00,36.8317,137.2533,-999,-999,-999,0.0585,-999,-999,0.588
OAD190527.xls,観測及び分析結果 (2),1,5/27/2019,0:15:00,36.7933,137.3317,-999,0.0887,-999,-999,-999,-999,4.4967
OAD190527.xls,観測及び分析結果,5,5/27/2019,1:25:00,36.8717,137.2533,-999,0.02,-999,-999,-999,0.4725,0.4026
OAD190527.xls,観測及び分析結果,3,5/26/2019,23:40:00,36.7933,137.2533,-999,0.0981,-999,-999,-999,5.5377,4.1566
OAD190527.xls,観測及び分析結果,4,5/27/2019,1:53:00,36.8317,137.2533,-999,0.0728,-999,-999,-999,-999,0.4329
OAD190527.xls,観測及び分析結果,9,5/27/2019,3:22:00,36.705,137.05,-999,0.0418,-999,-999,-999,-999,0.2295
OAD190527.xls,観測及び分析結果,8,5/27/2019,3:54:00,36.8317,137.09,-999,0.0357,-999,-999,-999,-999,0.4047
OAD190527.xls,観測及び分析結果,7,5/27/2019,2:37:00,36.8317,137.155,-999,0.0101,-999,-999,-999,-999,1.1912
OAD190527.xls,観測及び分析結果,2,5/27/2019,0:46:00,36.8317,137.3317,-999,0.0561,-999,-999,-999,-999,4.3204
OAD190527.xls,観測及び分析結果,6,5/26/2019,22:55:00,36.7933,137.155,-999,0.0946,-999,-999,-999,-999,11.9953
OAD20190822.xls,観測及び分析結果 (2),2,8/22/2019,1:25:00,36.8317,137.3317,-999,0.1092,0.1647,-999,0.1092,15.893,15.8927
OAD20190822.xls,観測及び分析結果,8,8/22/2019,4:30:00,36.8317,137.09,-999,0.1638,0.2436,-999,0.1638,-999,11.9362
OAD20190822.xls,観測及び分析結果,4,8/22/2019,2:30:00,36.8317,137.2533,-999,0.1047,0.1741,-999,0.1047,-999,12.3927
OAD20190822.xls,観測及び分析結果 (2),1,8/22/2019,1:01:00,36.7933,137.3317,-999,0.1881,0.3075,-999,0.1881,-999,29.8642
OAD20190822.xls,観測及び分析結果,9,8/22/2019,3:53:00,36.705,137.05,-999,0.056,0.0883,-999,0.056,-999,2.9455
OAD20190822.xls,観測及び分析結果 (2),3,8/22/2019,0:25:00,36.7933,137.2533,-999,0.1561,0.2406,-999,0.1561,15.541,15.5408
OAD20190822.xls,観測及び分析結果,7,8/22/2019,3:12:00,36.8317,137.155,-999,0.1245,0.1898,-999,0.1245,-999,12.9348
OAD20190822.xls,観測及び分析結果,6,8/21/2019,23:40:00,36.7933,137.155,-999,0.1087,0.1676,-999,0.1087,11.708,11.7079
OAD20190822.xls,観測及び分析結果,5,8/22/2019,2:05:00,36.8717,137.2533,-999,0.0238,0.0369,-999,0.0238,0.5668,0.641
